"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	20	3795762	0.5
	"1999"	"1999"	"1 year"	"1"	12	3785088	Unreliable
	"1999"	"1999"	"2 years"	"2"	5	3782635	Unreliable
	"1999"	"1999"	"3 years"	"3"	4	3824806	Unreliable
	"1999"	"1999"	"4 years"	"4"	4	3947253	Unreliable
	"1999"	"1999"	"5 years"	"5"	2	3999762	Unreliable
	"1999"	"1999"	"6 years"	"6"	3	4042620	Unreliable
	"1999"	"1999"	"7 years"	"7"	2	4163303	Unreliable
	"1999"	"1999"	"10 years"	"10"	3	4148653	Unreliable
	"1999"	"1999"	"11 years"	"11"	2	4036182	Unreliable
	"1999"	"1999"	"12 years"	"12"	3	4009910	Unreliable
	"1999"	"1999"	"13 years"	"13"	5	4003607	Unreliable
	"1999"	"1999"	"14 years"	"14"	9	4015012	Unreliable
	"1999"	"1999"	"15 years"	"15"	18	3939152	Unreliable
	"1999"	"1999"	"16 years"	"16"	31	4020305	0.8
	"1999"	"1999"	"17 years"	"17"	62	4031224	1.5
	"1999"	"1999"	"18 years"	"18"	97	3989843	2.4
	"1999"	"1999"	"19 years"	"19"	123	4104078	3.0
	"1999"	"1999"	"20 years"	"20"	163	3925495	4.2
	"1999"	"1999"	"21 years"	"21"	196	3763401	5.2
	"1999"	"1999"	"22 years"	"22"	177	3694190	4.8
	"1999"	"1999"	"23 years"	"23"	163	3562469	4.6
	"1999"	"1999"	"24 years"	"24"	210	3645874	5.8
	"1999"	"1999"	"25 years"	"25"	195	3657407	5.3
	"1999"	"1999"	"26 years"	"26"	225	3666228	6.1
	"1999"	"1999"	"27 years"	"27"	269	3935064	6.8
	"1999"	"1999"	"28 years"	"28"	274	4146484	6.6
	"1999"	"1999"	"29 years"	"29"	363	4169874	8.7
	"1999"	"1999"	"30 years"	"30"	328	4181212	7.8
	"1999"	"1999"	"31 years"	"31"	337	3936187	8.6
	"1999"	"1999"	"32 years"	"32"	374	4043957	9.2
	"1999"	"1999"	"33 years"	"33"	366	4079717	9.0
	"1999"	"1999"	"34 years"	"34"	505	4362276	11.6
	"1999"	"1999"	"35 years"	"35"	517	4605618	11.2
	"1999"	"1999"	"36 years"	"36"	542	4543561	11.9
	"1999"	"1999"	"37 years"	"37"	597	4582792	13.0
	"1999"	"1999"	"38 years"	"38"	656	4530009	14.5
	"1999"	"1999"	"39 years"	"39"	585	4620569	12.7
	"1999"	"1999"	"40 years"	"40"	636	4667525	13.6
	"1999"	"1999"	"41 years"	"41"	702	4461898	15.7
	"1999"	"1999"	"42 years"	"42"	671	4506931	14.9
	"1999"	"1999"	"43 years"	"43"	679	4297852	15.8
	"1999"	"1999"	"44 years"	"44"	710	4259922	16.7
	"1999"	"1999"	"45 years"	"45"	666	4245882	15.7
	"1999"	"1999"	"46 years"	"46"	610	3994950	15.3
	"1999"	"1999"	"47 years"	"47"	511	3937147	13.0
	"1999"	"1999"	"48 years"	"48"	454	3710656	12.2
	"1999"	"1999"	"49 years"	"49"	442	3765572	11.7
	"1999"	"1999"	"50 years"	"50"	355	3762700	9.4
	"1999"	"1999"	"51 years"	"51"	312	3601854	8.7
	"1999"	"1999"	"52 years"	"52"	306	3873166	7.9
	"1999"	"1999"	"53 years"	"53"	222	2785325	8.0
	"1999"	"1999"	"54 years"	"54"	189	2900567	6.5
	"1999"	"1999"	"55 years"	"55"	170	2859176	5.9
	"1999"	"1999"	"56 years"	"56"	159	2934509	5.4
	"1999"	"1999"	"57 years"	"57"	142	2561216	5.5
	"1999"	"1999"	"58 years"	"58"	106	2412512	4.4
	"1999"	"1999"	"59 years"	"59"	87	2317408	3.8
	"1999"	"1999"	"60 years"	"60"	80	2313430	3.5
	"1999"	"1999"	"61 years"	"61"	62	2178551	2.8
	"1999"	"1999"	"62 years"	"62"	67	2076327	3.2
	"1999"	"1999"	"63 years"	"63"	63	2054965	3.1
	"1999"	"1999"	"64 years"	"64"	55	2069932	2.7
	"1999"	"1999"	"65 years"	"65"	47	1913454	2.5
	"1999"	"1999"	"66 years"	"66"	60	1896361	3.2
	"1999"	"1999"	"67 years"	"67"	44	1916683	2.3
	"1999"	"1999"	"68 years"	"68"	48	1917811	2.5
	"1999"	"1999"	"69 years"	"69"	43	1897189	2.3
	"1999"	"1999"	"70 years"	"70"	51	1872535	2.7
	"1999"	"1999"	"71 years"	"71"	41	1830815	2.2
	"1999"	"1999"	"72 years"	"72"	32	1751382	1.8
	"1999"	"1999"	"73 years"	"73"	31	1714390	1.8
	"1999"	"1999"	"74 years"	"74"	37	1708289	2.2
	"1999"	"1999"	"75 years"	"75"	41	1637734	2.5
	"1999"	"1999"	"76 years"	"76"	39	1539287	2.5
	"1999"	"1999"	"77 years"	"77"	47	1499362	3.1
	"1999"	"1999"	"78 years"	"78"	25	1407240	1.8
	"1999"	"1999"	"79 years"	"79"	35	1258983	2.8
	"1999"	"1999"	"80 years"	"80"	32	1189382	2.7
	"1999"	"1999"	"81 years"	"81"	29	1047265	2.8
	"1999"	"1999"	"82 years"	"82"	26	972176	2.7
	"1999"	"1999"	"83 years"	"83"	28	875092	3.2
	"1999"	"1999"	"84 years"	"84"	38	798393	4.8
	"1999"	"1999"	"85 years"	"85"	19	Not Applicable	Not Applicable
	"1999"	"1999"	"86 years"	"86"	28	Not Applicable	Not Applicable
	"1999"	"1999"	"87 years"	"87"	19	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	15	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	20	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	11	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	9	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	11	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	5	Not Applicable	Not Applicable
