"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"7 years"	"7"	1	4163303	Unreliable
	"1999"	"1999"	"9 years"	"9"	1	4230069	Unreliable
	"1999"	"1999"	"10 years"	"10"	7	4148653	Unreliable
	"1999"	"1999"	"11 years"	"11"	22	4036182	0.5
	"1999"	"1999"	"12 years"	"12"	32	4009910	0.8
	"1999"	"1999"	"13 years"	"13"	56	4003607	1.4
	"1999"	"1999"	"14 years"	"14"	128	4015012	3.2
	"1999"	"1999"	"15 years"	"15"	162	3939152	4.1
	"1999"	"1999"	"16 years"	"16"	268	4020305	6.7
	"1999"	"1999"	"17 years"	"17"	335	4031224	8.3
	"1999"	"1999"	"18 years"	"18"	413	3989843	10.4
	"1999"	"1999"	"19 years"	"19"	444	4104078	10.8
	"1999"	"1999"	"20 years"	"20"	466	3925495	11.9
	"1999"	"1999"	"21 years"	"21"	475	3763401	12.6
	"1999"	"1999"	"22 years"	"22"	447	3694190	12.1
	"1999"	"1999"	"23 years"	"23"	474	3562469	13.3
	"1999"	"1999"	"24 years"	"24"	428	3645874	11.7
	"1999"	"1999"	"25 years"	"25"	433	3657407	11.8
	"1999"	"1999"	"26 years"	"26"	465	3666228	12.7
	"1999"	"1999"	"27 years"	"27"	489	3935064	12.4
	"1999"	"1999"	"28 years"	"28"	502	4146484	12.1
	"1999"	"1999"	"29 years"	"29"	520	4169874	12.5
	"1999"	"1999"	"30 years"	"30"	499	4181212	11.9
	"1999"	"1999"	"31 years"	"31"	540	3936187	13.7
	"1999"	"1999"	"32 years"	"32"	508	4043957	12.6
	"1999"	"1999"	"33 years"	"33"	559	4079717	13.7
	"1999"	"1999"	"34 years"	"34"	616	4362276	14.1
	"1999"	"1999"	"35 years"	"35"	664	4605618	14.4
	"1999"	"1999"	"36 years"	"36"	648	4543561	14.3
	"1999"	"1999"	"37 years"	"37"	637	4582792	13.9
	"1999"	"1999"	"38 years"	"38"	663	4530009	14.6
	"1999"	"1999"	"39 years"	"39"	691	4620569	15.0
	"1999"	"1999"	"40 years"	"40"	660	4667525	14.1
	"1999"	"1999"	"41 years"	"41"	641	4461898	14.4
	"1999"	"1999"	"42 years"	"42"	666	4506931	14.8
	"1999"	"1999"	"43 years"	"43"	590	4297852	13.7
	"1999"	"1999"	"44 years"	"44"	644	4259922	15.1
	"1999"	"1999"	"45 years"	"45"	638	4245882	15.0
	"1999"	"1999"	"46 years"	"46"	597	3994950	14.9
	"1999"	"1999"	"47 years"	"47"	585	3937147	14.9
	"1999"	"1999"	"48 years"	"48"	515	3710656	13.9
	"1999"	"1999"	"49 years"	"49"	501	3765572	13.3
	"1999"	"1999"	"50 years"	"50"	488	3762700	13.0
	"1999"	"1999"	"51 years"	"51"	515	3601854	14.3
	"1999"	"1999"	"52 years"	"52"	488	3873166	12.6
	"1999"	"1999"	"53 years"	"53"	395	2785325	14.2
	"1999"	"1999"	"54 years"	"54"	396	2900567	13.7
	"1999"	"1999"	"55 years"	"55"	418	2859176	14.6
	"1999"	"1999"	"56 years"	"56"	380	2934509	12.9
	"1999"	"1999"	"57 years"	"57"	337	2561216	13.2
	"1999"	"1999"	"58 years"	"58"	299	2412512	12.4
	"1999"	"1999"	"59 years"	"59"	257	2317408	11.1
	"1999"	"1999"	"60 years"	"60"	277	2313430	12.0
	"1999"	"1999"	"61 years"	"61"	257	2178551	11.8
	"1999"	"1999"	"62 years"	"62"	240	2076327	11.6
	"1999"	"1999"	"63 years"	"63"	224	2054965	10.9
	"1999"	"1999"	"64 years"	"64"	233	2069932	11.3
	"1999"	"1999"	"65 years"	"65"	242	1913454	12.6
	"1999"	"1999"	"66 years"	"66"	239	1896361	12.6
	"1999"	"1999"	"67 years"	"67"	238	1916683	12.4
	"1999"	"1999"	"68 years"	"68"	228	1917811	11.9
	"1999"	"1999"	"69 years"	"69"	253	1897189	13.3
	"1999"	"1999"	"70 years"	"70"	273	1872535	14.6
	"1999"	"1999"	"71 years"	"71"	252	1830815	13.8
	"1999"	"1999"	"72 years"	"72"	275	1751382	15.7
	"1999"	"1999"	"73 years"	"73"	260	1714390	15.2
	"1999"	"1999"	"74 years"	"74"	247	1708289	14.5
	"1999"	"1999"	"75 years"	"75"	275	1637734	16.8
	"1999"	"1999"	"76 years"	"76"	278	1539287	18.1
	"1999"	"1999"	"77 years"	"77"	262	1499362	17.5
	"1999"	"1999"	"78 years"	"78"	239	1407240	17.0
	"1999"	"1999"	"79 years"	"79"	245	1258983	19.5
	"1999"	"1999"	"80 years"	"80"	205	1189382	17.2
	"1999"	"1999"	"81 years"	"81"	210	1047265	20.1
	"1999"	"1999"	"82 years"	"82"	204	972176	21.0
	"1999"	"1999"	"83 years"	"83"	175	875092	20.0
	"1999"	"1999"	"84 years"	"84"	161	798393	20.2
	"1999"	"1999"	"85 years"	"85"	146	Not Applicable	Not Applicable
	"1999"	"1999"	"86 years"	"86"	156	Not Applicable	Not Applicable
	"1999"	"1999"	"87 years"	"87"	105	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	106	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	71	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	64	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	38	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	43	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	25	Not Applicable	Not Applicable
	"1999"	"1999"	"94 years"	"94"	21	Not Applicable	Not Applicable
	"1999"	"1999"	"95 years"	"95"	17	Not Applicable	Not Applicable
	"1999"	"1999"	"96 years"	"96"	11	Not Applicable	Not Applicable
	"1999"	"1999"	"97 years"	"97"	8	Not Applicable	Not Applicable
	"1999"	"1999"	"98 years"	"98"	3	Not Applicable	Not Applicable
	"1999"	"1999"	"99 years"	"99"	2	Not Applicable	Not Applicable
	"1999"	"1999"	"100+ years"	"100"	2	Not Applicable	Not Applicable
	"1999"	"1999"	"Not Stated"	"NS"	16	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			29429	279040168	10.5
	"2000"	"2000"	"7 years"	"7"	1	4118147	Unreliable
	"2000"	"2000"	"8 years"	"8"	1	4179230	Unreliable
	"2000"	"2000"	"9 years"	"9"	5	4267320	Unreliable
	"2000"	"2000"	"10 years"	"10"	14	4274056	Unreliable
	"2000"	"2000"	"11 years"	"11"	24	4115093	0.6
	"2000"	"2000"	"12 years"	"12"	43	4075842	1.1
	"2000"	"2000"	"13 years"	"13"	94	4010850	2.3
	"2000"	"2000"	"14 years"	"14"	125	4052231	3.1
	"2000"	"2000"	"15 years"	"15"	185	4019404	4.6
	"2000"	"2000"	"16 years"	"16"	281	3975021	7.1
	"2000"	"2000"	"17 years"	"17"	321	4046012	7.9
	"2000"	"2000"	"18 years"	"18"	408	4051598	10.1
	"2000"	"2000"	"19 years"	"19"	436	4127855	10.6
	"2000"	"2000"	"20 years"	"20"	476	4049448	11.8
	"2000"	"2000"	"21 years"	"21"	507	3841082	13.2
	"2000"	"2000"	"22 years"	"22"	475	3758648	12.6
	"2000"	"2000"	"23 years"	"23"	472	3673582	12.8
	"2000"	"2000"	"24 years"	"24"	455	3641241	12.5
	"2000"	"2000"	"25 years"	"25"	458	3744539	12.2
	"2000"	"2000"	"26 years"	"26"	433	3619660	12.0
	"2000"	"2000"	"27 years"	"27"	477	3789800	12.6
	"2000"	"2000"	"28 years"	"28"	469	3984812	11.8
	"2000"	"2000"	"29 years"	"29"	515	4242525	12.1
	"2000"	"2000"	"30 years"	"30"	500	4289970	11.7
